name,url,lan,file_path,excluded_groups
Turin Polytechnic University in Tashkent,https://ttpu.edupage.org/timetable/,en,ttpu,None
Tashkent State University of Economics,https://tsue.edupage.org/timetable/,rus,tsue,MOLIYA FAKULTETI;1-KURS;-;2-KURS;3-KURS;4-KURS;TURIZM FAKULTETI;KORPORATIV FAKULTETI;RAQAMLI IQTISODIYOT;IQTISODIYOT FAKULTETI;URAL TSUE;KRGZ-PEREVODLAR;TSUE courses for Afghan women;MAGISTRATURA 1 QISHKI 2022/23;MAGISTRATURA 1 KUZGI 2023/24;УФА магистратура;MAGISTRATURA 2 2023/24;MIFI Magistratura;MASOFAVIY TA'LIM;SIRTQI 4-KURS;5 YILLIK 3 KURS;2 TALIM 4 KURS;МАГИСТРАТУРА
